nom_de_la_station;nom_de_la_ligne;stop_lon;stop_lat;pollution_air
Orangis Bois de l'Epine;RER D;2.40769076622141;48.6363396147683;0.25
Orry-la-Ville - Coye;RER D;2.489862086302069;49.13840546145438;0.25
Palais Royal - Musée du Louvre;Métro 1;2.3364543677542517;48.86222226557415;0.75
Pasteur;Métro 12;2.3126518981045816;48.84282366881032;0.75
Péreire Levallois;RER C;2.2992286819828145;48.88602700780433;0.75
Petit Jouy Les Loges;RER C;2.1468519693445356;48.77123768805397;0.25
Philippe Auguste;Métro 2;2.390497596745289;48.858089428135756;0.75
Picpus;Métro 6;2.4012745388223746;48.84510324750185;0.75
Pierre et Marie Curie;Métro 7;2.377246886036494;48.815836500997094;0.75
Place de Clichy;Métro 2;2.3279583280102196;48.88366908827266;0.75
Place de Clichy;Métro 13;2.327398345647013;48.883737890227636;0.5
Place des Fêtes;Métro 11;2.393139370360497;48.87672366197325;0.75
Pont de l'Alma;RER C;2.3003592740110994;48.86247496310803;0.75
Pont de Neuilly;Métro 1;2.2584954293691255;48.885489388974705;0.75
Porte d'Auteuil;Métro 10;2.258280744595537;48.847904123629235;0.75
Porte de Bagnolet;Métro 3;2.4087542211895427;48.86453937293447;0.75
Porte de Clichy;Métro 14;2.313431869544054;48.89428867785142;0.75
Porte des Lilas;Métro 11;2.4065226763982275;48.87723143067265;0.5
Pyrénées;Métro 11;2.384883957748741;48.87381265491752;0.75
Quatre Septembre;Métro 3;2.3362786423248583;48.86959592111917;0.75
Rambuteau;Métro 11;2.3532739485947713;48.86119015695036;0.75
Raspail;Métro 4;2.330466993719873;48.83915635952557;0.5
Réaumur - Sébastopol;Métro 4;2.352381731140252;48.866077771215046;0.5
République;Métro 5;2.3640990472225725;48.867687468165165;0.75
République;Métro 9;2.3633023407804536;48.86751235781114;0.75
Robespierre;Métro 9;2.4229730864963517;48.855673808550314;0.75
Rosny Bois Perrier;RER E;2.4811863962676766;48.88258632328664;0.25
